iter	Passed	Remaining
844	102386	1109285
845	102777	1112090
846	102975	1112796
847	103348	1115379
848	103595	1116611
849	103727	1116600
850	103839	1116361
851	104259	1119441
852	104592	1121581
853	104800	1122368
854	104918	1122202
855	105024	1121902
856	105129	1121585
857	105230	1121229
858	105336	1120928
859	105537	1121639
860	105641	1121323
861	105746	1121009
862	105847	1120661
863	105950	1120323
864	106054	1120013
865	106206	1120192
866	106328	1120064
867	106432	1119749
868	106539	1119464
869	106645	1119161
870	106751	1118872
871	106881	1118822
872	106998	1118643
873	107101	1118318
874	107205	1118004
875	107307	1117665
876	107442	1117673
877	107595	1117870
878	107743	1118010
879	107854	1117769
880	107964	1117516
881	108070	1117219
882	108191	1117082
883	108361	1117443
884	108564	1118156
885	108707	1118235
886	108855	1118378
887	109039	1118879
888	109144	1118574
889	109245	1118235
890	109350	1117929
891	109458	1117650
892	109559	1117311
893	109701	1117387
894	109836	1117385
895	109976	1117437
896	110110	1117427
897	110212	1117094
898	110335	1116978
899	110476	1117037
900	110625	1117183
901	110741	1116994
902	110846	1116693
903	110960	1116479
904	111066	1116185
905	111172	1115896
906	111282	1115650
907	111417	1115645
908	111516	1115287
909	111653	1115307
910	111791	1115341
911	111908	1115162
912	112043	1115157
913	112159	1114969
914	112261	1114643
915	112365	1114332
916	112465	1113980
917	112575	1113740
918	112728	1113911
919	112831	1113602
920	112945	1113393
921	113057	1113161
922	113162	1112866
923	113261	1112514
924	113398	1112535
925	113509	1112292
926	113608	1111938
927	113704	1111556
928	113803	1111203
929	113910	1110929
930	114027	1110755
931	114150	1110644
932	114252	1110316
933	114361	1110069
934	114469	1109800
935	114567	1109448
936	114707	1109493
937	114832	1109392
938	114933	1109066
939	115036	1108759
940	115142	1108471
941	115249	1108205
942	115359	1107964
943	115480	1107833
944	115596	1107644
945	115696	1107309
946	115797	1106986
947	115900	1106680
948	116003	1106370
949	116105	1106058
950	116245	1106100
951	116346	1105779
952	116447	1105457
953	116544	1105091
954	116649	1104807
955	116754	1104529
956	116888	1104517
957	117004	1104332
958	117102	1103987
959	117210	1103734
960	117307	1103372
961	117407	1103045
962	117505	1102701
963	117647	1102758
964	117783	1102772
965	117916	1102755
966	118048	1102721
967	118189	1102773
968	118286	1102421
969	118402	1102244
970	118534	1102210
971	118670	1102221
972	118800	1102168
973	118898	1101828
974	119005	1101568
975	119118	1101356
976	119270	1101513
977	119443	1101856
978	119586	1101932
979	119740	1102101
980	119874	1102089
981	120047	1102432
982	120203	1102621
983	120309	1102345
984	120408	1102008
985	120507	1101677
986	120613	1101404
987	120711	1101067
988	120841	1101012
989	120972	1100974
990	121075	1100671
991	121186	1100447
992	121304	1100294
993	121409	1100015
994	121521	1099797
995	121656	1099796
996	121757	1099482
997	121871	1099288
998	121985	1099094
999	122096	1098865
1000	122229	1098842
1001	122353	1098735
1002	122475	1098615
1003	122583	1098366
1004	122699	1098188
1005	122829	1098140
1006	122954	1098041
1007	123059	1097771
1008	123175	1097589
1009	123330	1097762
1010	123468	1097786
1011	123614	1097875
1012	123718	1097588
1013	123825	1097337
1014	123932	1097078
1015	124030	1096738
1016	124182	1096886
1017	124318	1096880
1018	124430	1096671
1019	124529	1096347
1020	124628	1096024
1021	124727	1095695
1022	124825	1095366
1023	124937	1095157
1024	125059	1095037
1025	125159	1094720
1026	125258	1094399
1027	125358	1094078
1028	125456	1093747
1029	125553	1093408
1030	125674	1093279
1031	125807	1093255
1032	125947	1093290
1033	126060	1093096
1034	126205	1093167
1035	126358	1093314
1036	126484	1093232
1037	126582	1092903
1038	126688	1092643
1039	126787	1092325
1040	126890	1092038
1041	126990	1091725
1042	127138	1091828
1043	127238	1091524
1044	127335	1091188
1045	127438	1090901
1046	127538	1090591
1047	127634	1090256
1048	127755	1090124
1049	127876	1089994
1050	127979	1089714
1051	128084	1089448
1052	128187	1089167
1053	128287	1088858
1054	128392	1088594
1055	128532	1088628
1056	128631	1088313
1057	128735	1088048
1058	128833	1087721
1059	128937	1087454
1060	129035	1087130
1061	129152	1086971
1062	129268	1086806
1063	129366	1086486
1064	129475	1086256
1065	129577	1085968
1066	129685	1085732
1067	129822	1085742
1068	129953	1085703
1069	130074	1085571
1070	130190	1085404
1071	130316	1085319
1072	130424	1085087
1073	130541	1084928
1074	130672	1084885
1075	130779	1084641
1076	130894	1084471
1077	131010	1084300
1078	131166	1084462
1079	131425	1085481
1080	131528	1085202
1081	131646	1085049
1082	131768	1084926
1083	131875	1084690
1084	132005	1084634
1085	132133	1084566
1086	132245	1084361
1087	132358	1084174
1088	132468	1083954
1089	132568	1083657
1090	132676	1083423
1091	132820	1083480
1092	132920	1083189
1093	133028	1082951
1094	133138	1082736
1095	133250	1082536
1096	133359	1082316
1097	133493	1082293
1098	133650	1082456
1099	133780	1082404
1100	133954	1082709
1101	134124	1082980
1102	134263	1082996
1103	134383	1082858
1104	134505	1082735
1105	134706	1083251
1106	134925	1083913
1107	135135	1084498
1108	135287	1084620
1109	135392	1084359
1110	135516	1084252
1111	135633	1084092
1112	135733	1083791
1113	135831	1083483
1114	135929	1083171
1115	136026	1082848
1116	136129	1082580
1117	136267	1082581
1118	136365	1082274
1119	136463	1081960
1120	136560	1081645
1121	136662	1081365
1122	136760	1081055
1123	136882	1080931
1124	137004	1080810
1125	137109	1080557
1126	137209	1080263
1127	137314	1080011
1128	137414	1079717
1129	137514	1079427
1130	137644	1079372
1131	137752	1079146
1132	137854	1078866
1133	137957	1078597
1134	138061	1078337
1135	138165	1078079
1136	138283	1077927
1137	138416	1077897
1138	138523	1077661
1139	138622	1077363
1140	138719	1077053
1141	138820	1076773
1142	138921	1076486
1143	139053	1076448
1144	139161	1076221
1145	139268	1075992
1146	139371	1075727
1147	139471	1075434
1148	139568	1075124
1149	139676	1074901
1150	139799	1074793
1151	139900	1074513
1152	140002	1074244
1153	140102	1073956
1154	140199	1073651
1155	140297	1073344
1156	140437	1073373
1157	140565	1073300
1158	140675	1073094
1159	140787	1072896
1160	140904	1072742
1161	141022	1072598
1162	141164	1072634
1163	141310	1072696
1164	141453	1072741
1165	141596	1072781
1166	141745	1072869
1167	141861	1072704
1168	142150	1073846
1169	142301	1073951
1170	142437	1073938
1171	142545	1073712
1172	142679	1073688
1173	142814	1073666
1174	142943	1073597
1175	143105	1073780
1176	143225	1073647
1177	143568	1075178
1178	143848	1076237
1179	144092	1077032
1180	144201	1076810
1181	144335	1076777
1182	144553	1077368
1183	144674	1077237
1184	144777	1076976
1185	144874	1076661
1186	144981	1076428
1187	145100	1076283
1188	145217	1076122
1189	145327	1075909
1190	145432	1075661
1191	145538	1075420
1192	145652	1075237
1193	145766	1075059
1194	145903	1075045
1195	146001	1074748
1196	146099	1074446
1197	146211	1074251
1198	146320	1074031
1199	146438	1073881
1200	146567	1073808
1201	146678	1073605
1202	146788	1073399
1203	146902	1073217
1204	147014	1073024
1205	147127	1072833
1206	147254	1072750
1207	147363	1072534
1208	147463	1072251
1209	147592	1072177
1210	147714	1072061
1211	147834	1071919
1212	147965	1071865
1213	148067	1071596
1214	148173	1071363
1215	148281	1071135
1216	148378	1070836
1217	148493	1070666
1218	148609	1070503
1219	148716	1070274
1220	148822	1070035
1221	148920	1069741
1222	149063	1069772
1223	149218	1069888
1224	149380	1070053
1225	149533	1070153
1226	149668	1070125
1227	149811	1070154
1228	149910	1069862
1229	150033	1069749
1230	150178	1069792
1231	150323	1069834
1232	150452	1069762
1233	150550	1069467
1234	150650	1069188
1235	150747	1068895
1236	150846	1068606
1237	150950	1068356
1238	151065	1068184
1239	151197	1068138
1240	151297	1067858
1241	151401	1067614
1242	151500	1067329
1243	151627	1067242
1244	151828	1067678
1245	151955	1067589
1246	152101	1067639
1247	152321	1068202
1248	152531	1068694
1249	152632	1068425
1250	152745	1068243
1251	152863	1068089
1252	152974	1067891
1253	153085	1067694
1254	153220	1067662
1255	153337	1067505
1256	153469	1067447
1257	153617	1067504
1258	153920	1068639
1259	154111	1068995
1260	154374	1069851
1261	154493	1069702
1262	154614	1069570
1263	154738	1069455
1264	154856	1069304
1265	154975	1069157
1266	155076	1068892
1267	155181	1068650
1268	155328	1068693
1269	155432	1068445
1270	155553	1068314
1271	155657	1068066
1272	155763	1067828
1273	155888	1067726
1274	156021	1067673
1275	156124	1067422
1276	156232	1067204
1277	156337	1066957
1278	156440	1066704
1279	156550	1066498
1280	156691	1066502
1281	156796	1066264
1282	156899	1066013
1283	157042	1066030
1284	157153	1065832
1285	157270	1065672
1286	157433	1065824
1287	157576	1065842
1288	157696	1065703
1289	157844	1065753
1290	158033	1066081
1291	158331	1067141
1292	158582	1067890
1293	158864	1068836
1294	159101	1069478
1295	159228	1069384
1296	159334	1069149
1297	159495	1069282
1298	159594	1068998
1299	159709	1068822
1300	159825	1068658
1301	159923	1068367
1302	160021	1068081
1303	160149	1067993
1304	160283	1067943
1305	160382	1067661
1306	160480	1067374
1307	160578	1067088
1308	160675	1066794
1309	160812	1066761
1310	160953	1066761
1311	161054	1066497
1312	161156	1066235
1313	161262	1065999
1314	161367	1065761
1315	161476	1065547
1316	161621	1065575
1317	161722	1065308
1318	161819	1065014
1319	161916	1064726
1320	162022	1064489
1321	162133	1064295
1322	162280	1064332
1323	162394	1064147
1324	162491	1063862
1325	162595	1063616
1326	162699	1063369
1327	162797	1063085
1328	162919	1062958
1329	163036	1062800
1330	163141	1062565
1331	163251	1062361
1332	163353	1062101
1333	163486	1062046
1334	163676	1062365
1335	163796	1062226
1336	163923	1062129
1337	164053	1062059
1338	164287	1062651
1339	164488	1063039
1340	164606	1062881
1341	164711	1062649
1342	164821	1062441
1343	164935	1062260
1344	165076	1062259
1345	165224	1062296
1346	165426	1062684
1347	165552	1062581
1348	165668	1062418
1349	165802	1062364
1350	165935	1062309
1351	166078	1062312
1352	166180	1062056
1353	166280	1061791
1354	166383	1061536
1355	166492	1061331
1356	166673	1061579
1357	166968	1062549
1358	167156	1062837
1359	167418	1063597
1360	167563	1063618
1361	167667	1063368
1362	167769	1063115
1363	167891	1062986
1364	167992	1062722
1365	168129	1062689
1366	168247	1062532
1367	168346	1062256
1368	168446	1061987
1369	168579	1061925
1370	168694	1061753
1371	168826	1061687
1372	168927	1061423
1373	169025	1061146
1374	169124	1060871
1375	169229	1060636
1376	169351	1060507
1377	169522	1060685
1378	169627	1060446
1379	169728	1060188
1380	169827	1059915
1381	169926	1059645
1382	170025	1059367
1383	170167	1059363
1384	170282	1059195
1385	170381	1058919
1386	170479	1058644
1387	170577	1058365
1388	170675	1058087
1389	170796	1057952
1390	170966	1058124
1391	171080	1057948
1392	171186	1057719
1393	171284	1057445
1394	171384	1057177
1395	171482	1056901
1396	171618	1056860
1397	171726	1056644
1398	171832	1056421
1399	171934	1056169
1400	172034	1055906
1401	172137	1055660
1402	172250	1055479
1403	172380	1055403
1404	172505	1055291
1405	172617	1055102
1406	172717	1054842
1407	172822	1054607
1408	172944	1054485
1409	173113	1054640
1410	173265	1054695
1411	173384	1054551
1412	173518	1054498
1413	173660	1054492
1414	173835	1054686
1415	173937	1054433
1416	174041	1054199
1417	174150	1053992
1418	174266	1053825
1419	174420	1053892
1420	174564	1053897
1421	174711	1053919
1422	174856	1053929
1423	174968	1053742
1424	175092	1053626
1425	175363	1054392
1426	175683	1055456
1427	175956	1056233
1428	176064	1056017
1429	176174	1055816
1430	176280	1055589
1431	176384	1055353
1432	176515	1055271
1433	176655	1055252
1434	176936	1056070
1435	177152	1056501
1436	177405	1057151
1437	177518	1056960
1438	177616	1056691
1439	177734	1056533
1440	177849	1056358
1441	177981	1056287
1442	178088	1056066
1443	178197	1055858
1444	178298	1055603
1445	178397	1055330
1446	178498	1055078
1447	178662	1055195
1448	178779	1055032
1449	178878	1054767
1450	178977	1054496
1451	179074	1054218
1452	179173	1053952
1453	179281	1053741
1454	179415	1053680
1455	179518	1053437
1456	179622	1053200
1457	179730	1052988
1458	179839	1052783
1459	179946	1052565
1460	180078	1052491
1461	180187	1052287
1462	180301	1052109
1463	180435	1052048
1464	180548	1051865
1465	180647	1051598
1466	180767	1051455
1467	180897	1051374
1468	181034	1051331
1469	181204	1051479
1470	181380	1051663
1471	181517	1051615
1472	181650	1051548
1473	181790	1051523
1474	181961	1051676
1475	182122	1051771
1476	182225	1051527
1477	182353	1051432
1478	182496	1051419
1479	182656	1051507
1480	182775	1051359
1481	182887	1051170
1482	182996	1050965
1483	183106	1050762
1484	183214	1050552
1485	183355	1050531
1486	183489	1050468
1487	183619	1050382
1488	183730	1050190
1489	183839	1049983
1490	183954	1049809
1491	184083	1049722
1492	184182	1049456
1493	184280	1049192
1494	184385	1048960
1495	184483	1048696
